                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.49695,                0.54009,                0.69708,                0.82316,                0.74266,                0.84984,                 0.8672,                0.70951,                0.74266,                0.84984,                 0.8672,                0.68927,                0.67969,                 1.1975,                0.95396,                0.97245,              0.0005941,              0.0005941,              0.0005941
                     43,                0.51734,                0.56558,                0.68379,                 0.8252,                0.76223,                 0.7737,                0.84823,                0.69446,                0.76223,                 0.7737,                0.84823,                0.68339,                0.68969,                 1.1783,                 1.0141,                0.96528,              0.0005842,              0.0005842,              0.0005842
                     44,                0.53336,                0.56156,                0.67148,                 0.8318,                0.73801,                0.85567,                0.84046,                0.69708,                0.73801,                0.85567,                0.84046,                0.68194,                0.66257,                 1.1869,                0.98526,                0.96431,              0.0005743,              0.0005743,              0.0005743
                     45,                0.50053,                0.53984,                0.68476,                0.81782,                0.65654,                0.81513,                0.77291,                0.63324,                0.65654,                0.81513,                0.77291,                 0.6215,                0.70304,                 1.1966,                 1.2107,                0.97982,              0.0005644,              0.0005644,              0.0005644
                     46,                0.53128,                0.56563,                0.68216,                0.83039,                0.78982,                0.83626,                0.84922,                0.68992,                0.78982,                0.83626,                0.84777,                0.67506,                0.71758,                 1.2518,                 1.0002,                0.99954,              0.0005545,              0.0005545,              0.0005545
                     47,                0.51004,                0.54077,                0.65411,                0.82492,                0.75812,                0.83054,                0.86027,                0.70406,                0.75812,                0.83054,                0.86027,                0.68821,                0.69934,                 1.2664,                 1.0251,                0.98603,              0.0005446,              0.0005446,              0.0005446
                     48,                0.50697,                0.54996,                0.65343,                0.81766,                0.78884,                0.84157,                0.85966,                0.70274,                0.78884,                0.84157,                0.85966,                0.68386,                0.68603,                 1.2762,                 1.0372,                0.97666,              0.0005347,              0.0005347,              0.0005347
                     49,                0.50779,                0.56041,                0.63768,                0.83391,                0.80539,                0.85326,                0.86491,                  0.719,                0.80539,                0.85326,                0.86491,                0.68844,                0.67031,                 1.2864,                0.96855,                0.97717,              0.0005248,              0.0005248,              0.0005248
                     50,                0.53447,                0.58197,                0.66951,                0.82931,                0.81007,                0.84463,                0.85737,                0.69951,                0.81007,                0.84463,                0.85737,                0.68611,                0.70791,                 1.2815,                0.95418,                0.99338,              0.0005149,              0.0005149,              0.0005149
                     51,                0.49664,                0.56005,                0.61208,                0.82527,                0.77384,                0.86834,                0.84779,                0.70284,                0.77384,                0.86834,                0.84779,                0.68488,                0.67704,                  1.248,                0.91927,                0.96846,               0.000505,               0.000505,               0.000505
                     52,                0.50074,                0.53114,                0.58678,                0.81459,                0.78512,                0.88856,                0.85608,                0.71144,                0.78512,                0.88856,                0.85608,                0.68842,                0.67319,                 1.2873,                0.88939,                0.96631,              0.0004951,              0.0004951,              0.0004951
                     53,                0.46969,                0.52286,                0.62517,                0.81125,                0.76455,                 0.8784,                0.86638,                0.71724,                0.76455,                 0.8784,                0.86638,                0.70318,                0.67212,                 1.2191,                0.88887,                0.96062,              0.0004852,              0.0004852,              0.0004852
                     54,                0.48808,                 0.5447,                0.60289,                0.82223,                0.75194,                0.84359,                0.85472,                0.71675,                0.75194,                0.84359,                0.85472,                0.68521,                0.64429,                 1.2124,                0.95769,                 0.9584,              0.0004753,              0.0004753,              0.0004753
                     55,                0.49672,                 0.5464,                 0.6058,                0.81999,                0.72249,                0.85282,                0.85264,                0.70777,                0.72249,                0.85282,                0.85264,                0.68543,                0.66617,                 1.2129,                0.97089,                0.97128,              0.0004654,              0.0004654,              0.0004654
                     56,                 0.4885,                0.53538,                0.60718,                0.81563,                0.73662,                 0.8551,                0.84961,                0.70222,                0.73662,                 0.8551,                0.84961,                0.68825,                0.67245,                 1.2424,                 1.0205,                0.97208,              0.0004555,              0.0004555,              0.0004555
                     57,                0.47086,                0.52737,                0.59183,                0.82186,                0.72563,                0.85997,                0.84608,                0.70201,                0.72563,                0.85997,                0.84608,                0.67788,                0.65318,                 1.2561,                  1.009,                0.96291,              0.0004456,              0.0004456,              0.0004456
                     58,                0.48506,                 0.5165,                0.60586,                0.81314,                 0.7449,                0.83139,                0.84273,                0.70169,                 0.7449,                0.83139,                0.84273,                0.67316,                0.65948,                 1.2811,                0.98575,                 0.9623,              0.0004357,              0.0004357,              0.0004357
                     59,                0.47778,                0.52052,                0.56659,                0.81997,                0.71161,                0.84709,                0.84376,                0.71012,                0.71161,                0.84709,                0.84376,                 0.6896,                0.64882,                 1.2181,                 1.0095,                0.95158,              0.0004258,              0.0004258,              0.0004258
                     60,                0.49442,                0.54938,                0.59155,                0.82948,                0.69136,                0.82848,                0.83701,                0.71027,                0.69136,                0.82848,                0.83701,                0.68261,                 0.6272,                 1.2013,                 1.0776,                0.94321,              0.0004159,              0.0004159,              0.0004159
                     61,                0.47431,                0.53088,                0.58772,                0.81616,                0.71254,                0.83432,                0.84728,                0.71108,                0.71254,                0.83432,                0.84946,                0.68807,                0.65232,                 1.1919,                0.97334,                0.95418,               0.000406,               0.000406,               0.000406
                     62,                0.47256,                0.51673,                0.55564,                0.81609,                0.73505,                0.86746,                 0.8635,                0.72893,                0.73505,                0.86746,                0.86518,                0.70333,                0.63469,                 1.1997,                0.93526,                0.94732,              0.0003961,              0.0003961,              0.0003961
                     63,                0.48663,                0.52504,                0.54929,                0.82054,                0.72978,                0.84268,                0.84702,                0.70317,                0.73423,                0.84656,                0.85421,                0.68262,                0.65793,                 1.2438,                0.95537,                 0.9609,              0.0003862,              0.0003862,              0.0003862
                     64,                0.47275,                0.55035,                0.59476,                0.81426,                0.72082,                0.82522,                0.84119,                 0.7023,                0.72082,                0.82522,                0.84283,                0.67986,                0.64817,                 1.1973,                0.97736,                0.95791,              0.0003763,              0.0003763,              0.0003763
                     65,                0.43637,                0.49993,                0.52787,                0.80861,                0.81136,                0.82726,                0.86052,                0.70779,                0.81655,                0.83114,                0.86706,                0.69431,                0.69033,                 1.2646,                0.92076,                  0.994,              0.0003664,              0.0003664,              0.0003664
                     66,                0.47835,                0.52292,                0.54409,                0.81677,                0.80918,                0.82427,                0.85263,                0.69573,                0.81503,                0.82814,                0.86005,                0.68297,                0.71423,                 1.3215,                0.94618,                 1.0115,              0.0003565,              0.0003565,              0.0003565
                     67,                0.45518,                0.52298,                0.55245,                0.81863,                0.80509,                 0.8131,                0.85585,                0.69699,                0.81146,                 0.8167,                0.86233,                0.68489,                0.70057,                 1.3065,                0.91401,                 1.0033,              0.0003466,              0.0003466,              0.0003466
                     68,                 0.4602,                0.52022,                0.53782,                0.81782,                0.78936,                0.85157,                0.88294,                0.72653,                0.79396,                0.85526,                0.88929,                0.71333,                0.66936,                 1.2628,                0.89933,                0.98036,              0.0003367,              0.0003367,              0.0003367
